date,n_picks,legs,model_p,corr_p,mult,stake,won,pnl,detail
2026-06-05,2,Yesavage L5.5 + Rocker M4.5,0.4623,0.4561,3.0,1.00,1,+2.00,Yesavage L5.5=5W + Rocker M4.5=5W
2026-06-06,3,Lodolo L5.5 + Bibee L5.5 + Bradish L6.5,0.3836,0.3884,6.0,1.00,1,+5.00,Lodolo L5.5=3W + Bibee L5.5=3W + Bradish L6.5=3W
2026-06-06,3,Lodolo L5.5 + Bibee L5.5 + Rodriguez L4.5,0.3781,0.3827,6.0,1.00,0,-1.00,Lodolo L5.5=3W + Bibee L5.5=3W + Rodriguez L4.5=5L
2026-06-06,3,Lodolo L5.5 + Bradish L6.5 + Rodriguez L4.5,0.3771,0.3819,6.0,1.00,0,-1.00,Lodolo L5.5=3W + Bradish L6.5=3W + Rodriguez L4.5=5L
2026-06-06,3,Bibee L5.5 + Bradish L6.5 + Rodriguez L4.5,0.3571,0.3623,6.0,1.00,0,-1.00,Bibee L5.5=3W + Bradish L6.5=3W + Rodriguez L4.5=5L
2026-06-12,3,Lodolo L5.5 + Yesavage L5.5 + Bibee L5.5,0.4155,0.4194,6.0,1.00,0,-1.00,Lodolo L5.5=5W + Yesavage L5.5=3W + Bibee L5.5=8L
2026-06-12,3,Yesavage L5.5 + Bibee L5.5 + Rodriguez L4.5,0.3414,0.3467,6.0,1.00,0,-1.00,Yesavage L5.5=3W + Bibee L5.5=8L + Rodriguez L4.5=3W
2026-06-17,3,Lodolo L5.5 + Rodriguez L4.5 + Bradish L6.5,0.3078,0.3140,6.0,1.00,0,-1.00,Lodolo L5.5=2W + Rodriguez L4.5=5L + Bradish L6.5=12L
2026-06-17,3,Lodolo L5.5 + Rodriguez L4.5 + Sproat M4.5,0.2958,0.2911,6.0,1.00,0,-1.00,Lodolo L5.5=2W + Rodriguez L4.5=5L + Sproat M4.5=6W
2026-06-17,3,Lodolo L5.5 + Bradish L6.5 + Sproat M4.5,0.2952,0.2904,6.0,1.00,0,-1.00,Lodolo L5.5=2W + Bradish L6.5=12L + Sproat M4.5=6W
2026-06-17,3,Lodolo L5.5 + Rodriguez L4.5 + Avila L4.5,0.2920,0.2980,6.0,1.00,0,-1.00,Lodolo L5.5=2W + Rodriguez L4.5=5L + Avila L4.5=5L
2026-06-18,3,Yesavage L5.5 + Jump M5.5 + Liberatore L4.5,0.2734,0.2688,6.0,1.00,0,-1.00,Yesavage L5.5=6L + Jump M5.5=7W + Liberatore L4.5=2W
2026-06-23,3,Lodolo L5.5 + Rodriguez L4.5 + Avila L4.5,0.3911,0.3951,6.0,1.00,0,-1.00,Lodolo L5.5=6L + Rodriguez L4.5=5L + Avila L4.5=6L
2026-06-23,3,Rodriguez L4.5 + Sproat M4.5 + Avila L4.5,0.3487,0.3440,6.0,1.00,0,-1.00,Rodriguez L4.5=5L + Sproat M4.5=10W + Avila L4.5=6L
2026-06-24,3,Yesavage L5.5 + Liberatore L4.5 + Pérez L5.5,0.3380,0.3434,6.0,1.00,1,+5.00,Yesavage L5.5=5W + Liberatore L4.5=3W + Pérez L5.5=1W
2026-06-24,3,Yesavage L5.5 + Liberatore L4.5 + Bibee L5.5,0.3362,0.3417,6.0,1.00,1,+5.00,Yesavage L5.5=5W + Liberatore L4.5=3W + Bibee L5.5=3W
2026-06-24,3,Yesavage L5.5 + Liberatore L4.5 + Assad M3.5,0.3290,0.3245,6.0,1.00,1,+5.00,Yesavage L5.5=5W + Liberatore L4.5=3W + Assad M3.5=5W
2026-06-24,3,Yesavage L5.5 + Pérez L5.5 + Bibee L5.5,0.3268,0.3327,6.0,1.00,1,+5.00,Yesavage L5.5=5W + Pérez L5.5=1W + Bibee L5.5=3W
2026-06-28,2,Sheehan L5.5 + Bradish L6.5,0.4700,0.4729,3.0,1.00,1,+2.00,Sheehan L5.5=5W + Bradish L6.5=2W
2026-06-29,3,Lodolo L5.5 + Rodriguez L4.5 + Yesavage L5.5,0.4157,0.4194,6.0,1.00,1,+5.00,Lodolo L5.5=4W + Rodriguez L4.5=1W + Yesavage L5.5=3W
2026-06-29,3,Lodolo L5.5 + Yesavage L5.5 + Mahle L3.5,0.3541,0.3586,6.0,1.00,1,+5.00,Lodolo L5.5=4W + Yesavage L5.5=3W + Mahle L3.5=3W
2026-06-30,3,Bibee L5.5 + Sproat M4.5 + Pérez L4.5,0.3659,0.3609,6.0,1.00,1,+5.00,Bibee L5.5=2W + Sproat M4.5=7W + Pérez L4.5=1W
2026-06-30,3,Bibee L5.5 + Sproat M4.5 + Pérez L5.5,0.3398,0.3353,6.0,1.00,0,-1.00,Bibee L5.5=2W + Sproat M4.5=7W + Pérez L5.5=8L
2026-06-30,3,Bibee L5.5 + Pérez L4.5 + Pérez L5.5,0.3369,0.3423,6.0,1.00,0,-1.00,Bibee L5.5=2W + Pérez L4.5=1W + Pérez L5.5=8L
2026-06-30,3,Sproat M4.5 + Pérez L4.5 + Pérez L5.5,0.3330,0.3287,6.0,1.00,0,-1.00,Sproat M4.5=7W + Pérez L4.5=1W + Pérez L5.5=8L
